timestamp,x,y,z,temp
1750522906751,0.57,0.0,0.88,29.77
1750522906801,0.53,-0.0,0.82,29.74
1750522906861,0.51,0.0,0.91,29.76
1750522906921,0.55,0.01,0.89,29.8
1750522906981,0.51,0.0,0.87,29.79
1750522907041,0.56,0.04,0.93,29.77
1750522907101,0.52,0.03,0.88,29.79
1750522907161,0.53,-0.01,0.9,29.79
1750522907221,0.54,0.01,0.9,29.79
1750522907281,0.51,0.01,0.91,29.79
1750522907341,0.56,0.03,0.9,29.77
1750522907401,0.73,0.14,0.98,29.8
1750522907461,0.59,0.11,0.78,29.8
1750522907521,0.84,0.28,0.84,29.8
1750522907571,0.74,0.23,0.75,29.81
1750522907631,0.75,0.33,0.84,29.8
1750522907691,0.64,0.4,0.65,29.77
1750522907751,0.52,0.42,0.64,29.79
1750522907811,0.57,0.51,0.65,29.8
1750522907871,0.58,0.53,0.55,29.81
1750522907931,0.59,0.61,0.5,29.8
1750522907991,0.62,0.7,0.32,29.81
1750522908051,0.46,0.67,0.45,29.81
1750522908111,0.72,0.72,0.33,29.8
1750522908171,0.54,0.6,0.31,29.81
1750522908231,0.87,0.64,0.6,29.79
1750522908291,0.5,0.48,0.87,29.81
1750522908351,0.67,0.6,0.65,29.8
1750522908411,0.42,0.64,0.65,29.84
1750522908471,0.39,0.26,0.88,29.81
1750522908531,0.64,0.41,0.86,29.83
1750522908591,0.42,0.37,0.83,29.81
1750522908651,0.61,0.16,0.98,29.8
1750522908711,0.44,0.3,0.69,29.83
1750522908771,0.55,0.21,1.0,29.8
1750522908831,0.44,0.32,0.9,29.81
1750522908891,0.48,0.29,0.86,29.81
1750522908951,0.38,0.36,0.99,29.81
1750522909011,0.46,0.26,0.84,29.81
1750522909071,0.64,0.13,0.92,29.84
1750522909131,0.47,0.22,0.75,29.83
1750522909191,0.58,0.22,0.98,29.83
1750522909251,0.46,0.22,0.76,29.8
1750522909311,0.57,0.24,0.97,29.87
1750522909371,0.42,0.26,0.85,29.83
1750522909431,0.48,0.27,0.91,29.83
1750522909491,0.47,0.25,0.89,29.83
1750522909551,0.52,0.26,0.84,29.83
1750522909611,0.47,0.25,0.93,29.85
1750522909671,0.5,0.28,0.83,29.84
1750522909731,0.5,0.23,0.9,29.84
1750522909791,0.5,0.23,0.88,29.84
1750522909851,0.46,0.27,0.88,29.83
1750522909911,0.49,0.23,0.91,29.84
1750522909971,0.48,0.27,0.91,29.85
1750522910031,0.5,0.24,0.86,29.84
1750522910091,0.47,0.25,0.92,29.84
1750522910151,0.48,0.24,0.87,29.84
1750522910211,0.48,0.25,0.9,29.84
1750522910271,0.49,0.22,0.9,29.84
1750522910331,0.45,0.24,0.89,29.84
1750522910391,0.51,0.23,0.91,29.85
1750522910451,0.47,0.24,0.89,29.83
1750522910511,0.48,0.22,0.91,29.85
1750522910571,0.47,0.26,0.9,29.84
1750522910631,0.5,0.23,0.9,29.85
1750522910691,0.47,0.26,0.85,29.87
1750522910751,0.53,0.24,0.91,29.85
1750522910811,0.49,0.24,0.89,29.84
1750522910871,0.47,0.26,0.87,29.84
1750522910931,0.5,0.24,0.88,29.83
1750522910991,0.48,0.25,0.9,29.87
1750522911051,0.49,0.27,0.89,29.84
1750522911111,0.51,0.25,0.88,29.87
1750522911171,0.49,0.27,0.86,29.87
1750522911231,0.54,0.26,0.85,29.85
1750522911291,0.54,0.27,0.86,29.85
1750522911351,0.54,0.21,0.87,29.87
1750522911411,0.54,0.26,0.84,29.84
1750522911471,0.57,0.22,0.82,29.87
1750522911531,0.56,0.18,0.87,29.87
1750522911591,0.55,0.24,0.83,29.84
1750522911651,0.57,0.2,0.89,29.85
1750522911711,0.55,0.23,0.85,29.87
1750522911771,0.56,0.21,0.81,29.85
1750522911831,0.54,0.19,0.91,29.85
1750522911891,0.62,0.23,0.82,29.85
1750522911951,0.57,0.16,0.9,29.85
1750522912011,0.58,0.15,0.83,29.87
1750522912070,0.58,0.16,0.87,29.85
1750522912131,0.56,0.19,0.83,29.85
1750522912191,0.58,0.15,0.85,29.88
1750522912251,0.55,0.19,0.85,29.84
1750522912311,0.54,0.21,0.86,29.87
1750522912371,0.57,0.15,0.85,29.85
1750522912431,0.62,0.16,0.85,29.87
1750522912491,0.51,0.13,0.84,29.88
1750522912551,0.55,0.22,0.91,29.9
1750522912611,0.54,0.2,0.92,29.87
1750522912671,0.52,0.19,0.81,29.87
1750522912731,0.63,0.13,0.91,29.88
1750522912791,0.52,0.12,0.87,29.88
1750522912851,0.59,0.1,0.79,29.88
1750522912911,0.55,0.21,0.81,29.87
1750522912971,0.51,0.22,0.94,29.85
1750522913031,0.59,0.15,0.89,29.87
1750522913091,0.57,0.16,0.78,29.88
1750522913151,0.55,0.18,0.84,29.87
1750522913211,0.54,0.19,0.85,29.87
1750522913271,0.57,0.16,0.9,29.87
1750522913331,0.54,0.19,0.81,29.88
1750522913391,0.57,0.18,0.91,29.88
1750522913451,0.51,0.23,0.91,29.9
1750522913511,0.55,0.18,0.83,29.85
1750522913571,0.58,0.19,0.94,29.9
1750522913631,0.55,0.19,0.82,29.9
1750522913691,0.57,0.17,0.89,29.87
1750522913751,0.57,0.12,0.86,29.9
1750522913811,0.57,0.14,0.85,29.88
1750522913871,0.54,0.19,0.87,29.9
1750522913931,0.53,0.18,0.92,29.9
1750522913991,0.53,0.16,0.89,29.88
1750522914051,0.54,0.16,0.84,29.87
1750522914111,0.55,0.16,0.93,29.88
1750522914171,0.52,0.19,0.87,29.88
1750522914231,0.55,0.15,0.87,29.87
1750522914291,0.52,0.16,0.89,29.9
1750522914351,0.52,0.17,0.9,29.9
1750522914411,0.48,0.17,0.88,29.88
1750522914471,0.53,0.17,0.88,29.9
1750522914531,0.51,0.16,0.91,29.88
1750522914591,0.52,0.19,0.87,29.88
1750522914651,0.51,0.16,0.91,29.9
1750522914711,0.51,0.19,0.91,29.9
1750522914771,0.49,0.19,0.87,29.9
1750522914831,0.5,0.17,0.9,29.9
1750522914891,0.52,0.16,0.91,29.9
1750522914951,0.51,0.17,0.88,29.9
1750522915011,0.52,0.18,0.9,29.9
