timestamp,x,y,z,temp
1750571593612,0.9,-0.16,0.43,34.85
1750571593691,0.89,-0.18,0.44,34.84
1750571593742,0.89,-0.17,0.45,34.82
1750571593802,0.88,-0.17,0.44,34.81
1750571593862,0.89,-0.18,0.44,34.82
1750571593921,0.89,-0.17,0.44,34.84
1750571593982,0.88,-0.17,0.43,34.82
1750571594041,0.9,-0.15,0.43,34.84
1750571594102,0.89,-0.15,0.43,34.82
1750571594162,0.89,-0.16,0.43,34.82
1750571594302,0.89,-0.17,0.45,34.85
1750571594362,0.89,-0.17,0.43,34.84
1750571594421,0.9,-0.16,0.44,34.82
1750571594482,0.89,-0.18,0.45,34.84
1750571594541,0.9,-0.16,0.44,34.82
1750571594602,0.91,-0.17,0.44,34.82
1750571594662,0.89,-0.17,0.45,34.84
1750571594722,0.9,-0.15,0.44,34.81
1750571594782,0.89,-0.17,0.43,34.84
1750571594841,0.9,-0.17,0.44,34.82
1750571594902,0.9,-0.16,0.43,34.84
1750571594961,0.9,-0.16,0.44,34.84
1750571595022,0.9,-0.17,0.44,34.85
1750571595152,0.89,-0.15,0.43,34.82
1750571595212,0.9,-0.16,0.44,34.84
1750571595271,0.89,-0.17,0.44,34.82
1750571595332,0.9,-0.17,0.43,34.82
1750571595392,0.88,-0.18,0.45,34.84
1750571595451,0.88,-0.17,0.45,34.87
1750571595512,0.89,-0.17,0.45,34.82
1750571595571,0.89,-0.18,0.45,34.82
1750571595632,0.89,-0.18,0.45,34.85
1750571595692,0.91,-0.17,0.44,34.82
1750571595751,0.91,-0.17,0.44,34.85
1750571595812,0.88,-0.15,0.44,34.84
1750571595871,0.9,-0.18,0.46,34.82
1750571595932,0.88,-0.16,0.43,34.85
1750571596072,0.9,-0.17,0.44,34.85
1750571596132,0.89,-0.18,0.45,34.85
1750571596191,0.89,-0.17,0.43,34.84
1750571596252,0.9,-0.15,0.44,34.85
1750571596312,0.89,-0.17,0.44,34.82
1750571596371,0.89,-0.17,0.43,34.82
1750571596432,0.88,-0.17,0.45,34.82
1750571596491,0.89,-0.19,0.44,34.82
1750571596552,0.9,-0.17,0.44,34.84
1750571596612,0.89,-0.18,0.44,34.82
1750571596671,0.9,-0.17,0.44,34.84
1750571596732,0.9,-0.17,0.44,34.84
1750571596791,0.89,-0.16,0.46,34.84
1750571596922,0.9,-0.18,0.44,34.82
1750571596981,0.89,-0.16,0.44,34.84
1750571597042,0.9,-0.16,0.43,34.85
1750571597101,0.9,-0.17,0.45,34.84
1750571597162,0.9,-0.16,0.45,34.84
1750571597222,0.88,-0.16,0.44,34.87
1750571597282,0.9,-0.17,0.43,34.85
1750571597342,0.89,-0.15,0.43,34.85
1750571597401,0.9,-0.15,0.44,34.85
1750571597462,0.89,-0.18,0.43,34.84
1750571597521,0.89,-0.18,0.44,34.85
1750571597582,0.89,-0.14,0.44,34.85
1750571597642,0.92,-0.16,0.43,34.82
1750571597782,0.9,-0.17,0.45,34.84
1750571597842,0.9,-0.18,0.42,34.85
1750571597901,0.9,-0.17,0.43,34.85
1750571597962,0.89,-0.18,0.45,34.84
1750571598021,0.89,-0.18,0.44,34.85
1750571598082,0.9,-0.17,0.45,34.85
1750571598142,0.89,-0.16,0.45,34.82
1750571598202,0.89,-0.17,0.44,34.85
1750571598262,0.9,-0.17,0.44,34.85
1750571598322,0.89,-0.18,0.44,34.85
1750571598382,0.88,-0.16,0.43,34.84
1750571598441,0.89,-0.16,0.45,34.87
1750571598502,0.89,-0.16,0.44,34.85
1750571598632,0.9,-0.17,0.43,34.84
1750571598692,0.9,-0.16,0.44,34.84
1750571598751,0.89,-0.18,0.45,34.84
1750571598812,0.9,-0.16,0.43,34.85
1750571598872,0.89,-0.17,0.45,34.87
1750571598931,0.9,-0.17,0.45,34.85
1750571598992,0.9,-0.17,0.44,34.82
1750571599052,0.88,-0.18,0.44,34.84
1750571599112,0.89,-0.16,0.45,34.87
1750571599172,0.88,-0.17,0.43,34.84
1750571599231,0.9,-0.18,0.44,34.85
1750571599292,0.88,-0.17,0.44,34.84
1750571599351,0.9,-0.19,0.45,34.85
1750571599482,0.89,-0.17,0.45,34.85
1750571599541,0.9,-0.15,0.43,34.85
1750571599602,0.89,-0.16,0.44,34.85
1750571599661,0.9,-0.17,0.44,34.87
1750571599722,0.9,-0.17,0.44,34.85
1750571599782,0.88,-0.17,0.44,34.85
1750571599842,0.89,-0.15,0.43,34.87
1750571599902,0.89,-0.17,0.44,34.87
1750571599961,0.89,-0.18,0.45,34.88
1750571600022,0.9,-0.15,0.43,34.87
1750571600081,0.9,-0.16,0.43,34.85
1750571600142,0.9,-0.18,0.45,34.84
1750571600202,0.9,-0.16,0.43,34.87
1750571600342,0.9,-0.16,0.43,34.85
1750571600402,0.89,-0.17,0.44,34.85
1750571600461,0.89,-0.16,0.43,34.87
1750571600522,0.9,-0.18,0.43,34.85
1750571600581,0.89,-0.15,0.44,34.87
1750571600642,0.9,-0.15,0.44,34.84
1750571600702,0.89,-0.18,0.46,34.87
1750571600762,0.89,-0.16,0.44,34.85
1750571600822,0.9,-0.16,0.44,34.87
1750571600881,0.9,-0.18,0.44,34.87
1750571600942,0.89,-0.16,0.43,34.87
1750571601001,0.89,-0.17,0.44,34.87
1750571601062,0.89,-0.18,0.44,34.87
1750571601192,0.9,-0.16,0.45,34.85
1750571601252,0.9,-0.17,0.44,34.85
1750571601311,0.9,-0.16,0.44,34.85
1750571601372,0.89,-0.16,0.44,34.88
1750571601432,0.89,-0.17,0.44,34.85
1750571601491,0.89,-0.18,0.45,34.85
1750571601552,0.89,-0.18,0.45,34.89
1750571601611,0.89,-0.17,0.45,34.87
1750571601672,0.89,-0.18,0.43,34.85
1750571601732,0.89,-0.15,0.44,34.85
1750571601791,0.89,-0.18,0.46,34.88
1750571601852,0.89,-0.17,0.44,34.87
1750571601911,0.88,-0.18,0.45,34.87
1750571602042,0.89,-0.16,0.44,34.87
1750571602101,0.9,-0.15,0.44,34.87
1750571602162,0.89,-0.18,0.44,34.88
1750571602221,0.9,-0.17,0.44,34.88
1750571602282,0.89,-0.17,0.45,34.87
1750571602342,0.9,-0.17,0.43,34.87
1750571602402,0.9,-0.18,0.44,34.89
1750571602462,0.88,-0.15,0.45,34.87
1750571602522,0.89,-0.17,0.44,34.87
1750571602582,0.88,-0.18,0.45,34.88
1750571602642,0.89,-0.18,0.44,34.87
1750571602702,0.89,-0.18,0.45,34.87
1750571602762,0.9,-0.17,0.43,34.87
1750571602821,0.9,-0.16,0.42,34.85
1750571602952,0.9,-0.16,0.43,34.85
1750571603012,0.9,-0.16,0.43,34.85
1750571603072,0.89,-0.17,0.43,34.87
1750571603131,0.89,-0.17,0.44,34.87
1750571603192,0.9,-0.18,0.44,34.87
1750571603251,0.9,-0.16,0.44,34.88
1750571603312,0.89,-0.17,0.43,34.89
1750571603372,0.89,-0.17,0.44,34.87
1750571603431,0.91,-0.15,0.43,34.87
1750571603492,0.9,-0.15,0.43,34.87
1750571603551,0.9,-0.15,0.43,34.88
1750571603612,0.89,-0.17,0.44,34.89
1750571603672,0.9,-0.16,0.44,34.88
1750571603802,0.89,-0.16,0.44,34.87
1750571603861,0.89,-0.17,0.45,34.87
1750571603922,0.89,-0.17,0.45,34.89
1750571603982,0.9,-0.17,0.46,34.87
1750571604042,0.9,-0.17,0.44,34.89
1750571604102,0.89,-0.15,0.45,34.88
1750571604162,0.89,-0.17,0.44,34.88
1750571604222,0.9,-0.19,0.44,34.87
1750571604281,0.89,-0.17,0.44,34.88
1750571604342,0.89,-0.15,0.44,34.87
1750571604402,0.9,-0.16,0.42,34.88
1750571604461,0.9,-0.16,0.45,34.88
1750571604522,0.9,-0.17,0.44,34.88
1750571604662,0.89,-0.17,0.44,34.91
1750571604722,0.88,-0.17,0.44,34.87
1750571604781,0.9,-0.17,0.44,34.87
1750571604842,0.9,-0.17,0.45,34.89
1750571604902,0.9,-0.17,0.44,34.88
1750571604962,0.89,-0.17,0.44,34.88
1750571605022,0.89,-0.17,0.44,34.88
1750571605081,0.89,-0.16,0.45,34.87
1750571605142,0.9,-0.17,0.44,34.89
1750571605201,0.89,-0.16,0.43,34.89
1750571605262,0.91,-0.18,0.44,34.88
1750571605322,0.89,-0.14,0.44,34.89
1750571605381,0.89,-0.17,0.45,34.91
1750571605512,0.9,-0.18,0.44,34.88
1750571605572,0.9,-0.18,0.45,34.88
1750571605632,0.89,-0.15,0.45,34.89
1750571605691,0.89,-0.17,0.44,34.89
1750571605752,0.89,-0.18,0.44,34.89
1750571605811,0.9,-0.15,0.44,34.88
1750571605872,0.89,-0.18,0.46,34.89
1750571605932,0.89,-0.17,0.44,34.91
1750571605991,0.89,-0.15,0.44,34.88
1750571606052,0.9,-0.16,0.44,34.89
1750571606111,0.9,-0.16,0.44,34.88
1750571606172,0.89,-0.16,0.45,34.88
1750571606232,0.9,-0.17,0.43,34.89
1750571606362,0.9,-0.17,0.43,34.89
1750571606421,0.9,-0.16,0.45,34.89
1750571606482,0.88,-0.17,0.44,34.88
1750571606542,0.9,-0.17,0.44,34.89
1750571606602,0.89,-0.16,0.44,34.88
1750571606662,0.9,-0.16,0.44,34.89
1750571606721,0.9,-0.15,0.45,34.89
1750571606782,0.89,-0.17,0.45,34.89
1750571606841,0.89,-0.17,0.43,34.89
1750571606902,0.9,-0.15,0.43,34.91
1750571606962,0.9,-0.17,0.45,34.91
1750571607021,0.88,-0.17,0.44,34.88
1750571607082,0.89,-0.15,0.44,34.89
1750571607222,0.9,-0.16,0.43,34.89
1750571607282,0.89,-0.18,0.45,34.88
1750571607341,0.89,-0.16,0.44,34.89
1750571607402,0.89,-0.16,0.45,34.88
1750571607462,0.9,-0.15,0.45,34.88
1750571607522,0.88,-0.17,0.44,34.91
1750571607582,0.9,-0.18,0.45,34.91
1750571607641,0.89,-0.17,0.44,34.91
1750571607702,0.89,-0.17,0.45,34.89
1750571607761,0.9,-0.16,0.44,34.89
1750571607822,0.89,-0.17,0.43,34.91
1750571607882,0.91,-0.16,0.44,34.91
1750571607941,0.9,-0.18,0.45,34.88
1750571608072,0.91,-0.17,0.45,34.91
1750571608132,0.9,-0.18,0.43,34.92
1750571608192,0.89,-0.16,0.45,34.91
1750571608251,0.9,-0.16,0.45,34.92
1750571608312,0.9,-0.16,0.43,34.92
1750571608371,0.9,-0.17,0.44,34.92
1750571608432,0.89,-0.18,0.43,34.92
1750571608492,0.9,-0.17,0.44,34.89
1750571608551,0.89,-0.17,0.44,34.91
1750571608612,0.9,-0.17,0.43,34.91
1750571608671,0.9,-0.17,0.44,34.91
1750571608732,0.9,-0.17,0.43,34.89
1750571608792,0.89,-0.16,0.44,34.91
1750571608922,0.9,-0.16,0.44,34.91
1750571608981,0.9,-0.16,0.44,34.89
1750571609042,0.89,-0.18,0.45,34.92
1750571609102,0.89,-0.15,0.44,34.92
1750571609162,0.89,-0.18,0.44,34.89
1750571609222,0.9,-0.17,0.45,34.92
1750571609281,0.89,-0.18,0.44,34.89
1750571609342,0.9,-0.18,0.44,34.91
1750571609401,0.89,-0.16,0.44,34.91
1750571609462,0.9,-0.17,0.44,34.89
1750571609522,0.9,-0.18,0.44,34.91
1750571609581,0.89,-0.17,0.44,34.91
1750571609642,0.89,-0.17,0.44,34.91
1750571609701,0.89,-0.16,0.43,34.91
1750571609832,0.89,-0.16,0.45,34.91
1750571609891,0.89,-0.17,0.44,34.91
1750571609952,0.9,-0.16,0.44,34.91
1750571610011,0.89,-0.17,0.44,34.92
1750571610072,0.9,-0.17,0.44,34.88
1750571610132,0.9,-0.18,0.44,34.92
1750571610191,0.89,-0.17,0.43,34.92
1750571610252,0.89,-0.17,0.44,34.91
1750571610311,0.89,-0.16,0.44,34.89
1750571610372,0.9,-0.16,0.45,34.92
1750571610432,0.89,-0.17,0.44,34.88
1750571610492,0.9,-0.15,0.44,34.91
1750571610552,0.9,-0.16,0.44,34.89
1750571610692,0.9,-0.17,0.44,34.92
1750571610752,0.89,-0.18,0.43,34.92
1750571610811,0.89,-0.16,0.44,34.94
1750571610872,0.9,-0.15,0.44,34.89
1750571610931,0.91,-0.17,0.44,34.91
1750571610992,0.9,-0.17,0.44,34.92
1750571611052,0.89,-0.14,0.44,34.92
1750571611111,0.9,-0.17,0.44,34.92
1750571611172,0.89,-0.17,0.45,34.92
1750571611231,0.9,-0.16,0.44,34.91
1750571611292,0.89,-0.17,0.45,34.92
1750571611352,0.89,-0.18,0.44,34.95
1750571611412,0.9,-0.17,0.45,34.91
1750571611552,0.9,-0.17,0.43,34.92
1750571611612,0.9,-0.15,0.44,34.92
1750571611672,0.89,-0.16,0.44,34.91
1750571611731,0.89,-0.15,0.45,34.91
1750571611792,0.89,-0.17,0.44,34.92
1750571611851,0.89,-0.18,0.44,34.89
1750571611912,0.89,-0.17,0.44,34.94
1750571611972,0.9,-0.17,0.45,34.94
1750571612031,0.89,-0.17,0.44,34.94
1750571612092,0.9,-0.15,0.43,34.92
1750571612232,0.89,-0.17,0.45,34.92
1750571612292,0.9,-0.16,0.44,34.91
1750571612351,0.89,-0.16,0.43,34.94
1750571612412,0.89,-0.17,0.44,34.94
1750571612471,0.9,-0.17,0.44,34.92
1750571612532,0.89,-0.18,0.44,34.91
1750571612592,0.89,-0.15,0.43,34.92
1750571612651,0.89,-0.19,0.43,34.92
1750571612712,0.89,-0.16,0.44,34.92
1750571612771,0.91,-0.17,0.43,34.92
1750571612832,0.9,-0.19,0.44,34.92
1750571612892,0.89,-0.17,0.43,34.92
1750571612952,0.9,-0.17,0.42,34.92
1750571613092,0.9,-0.16,0.44,34.91
1750571613152,0.89,-0.17,0.44,34.94
1750571613212,0.9,-0.17,0.44,34.94
1750571613271,0.9,-0.16,0.44,34.91
1750571613332,0.89,-0.17,0.43,34.94
1750571613391,0.9,-0.16,0.45,34.92
1750571613452,0.89,-0.18,0.45,34.95
1750571613512,0.89,-0.16,0.45,34.97
