timestamp,x,y,z,temp
1750568906412,-0.89,0.15,0.5,34.91
1750568906502,-0.89,0.17,0.5,34.92
1750568906582,-0.89,0.18,0.49,34.92
1750568906642,-0.87,0.18,0.49,34.92
1750568906702,-0.89,0.16,0.49,34.94
1750568906762,-0.88,0.18,0.5,34.94
1750568906822,-0.89,0.17,0.5,34.92
1750568906882,-0.9,0.17,0.49,34.92
1750568906942,-0.9,0.18,0.5,34.92
1750568907002,-0.88,0.16,0.5,34.91
1750568907062,-0.89,0.16,0.49,34.95
1750568907122,-0.89,0.17,0.5,34.92
1750568907182,-0.88,0.18,0.5,34.92
1750568907242,-0.89,0.16,0.5,34.94
1750568907302,-0.89,0.16,0.5,34.92
1750568907442,-0.88,0.17,0.5,34.91
1750568907502,-0.89,0.16,0.49,34.92
1750568907562,-0.88,0.17,0.49,34.92
1750568907622,-0.88,0.17,0.5,34.91
1750568907682,-0.89,0.16,0.5,34.91
1750568907742,-0.89,0.17,0.5,34.94
1750568907802,-0.88,0.17,0.51,34.91
1750568907862,-0.9,0.18,0.49,34.91
1750568907922,-0.88,0.16,0.49,34.95
1750568907982,-0.89,0.16,0.5,34.92
1750568908042,-0.9,0.16,0.5,34.92
1750568908102,-0.89,0.16,0.5,34.94
1750568908162,-0.89,0.16,0.5,34.92
1750568908302,-0.87,0.17,0.49,34.92
1750568908362,-0.89,0.18,0.49,34.92
1750568908422,-0.89,0.18,0.5,34.92
1750568908482,-0.89,0.16,0.49,34.91
1750568908542,-0.88,0.17,0.5,34.92
1750568908602,-0.88,0.18,0.49,34.91
1750568908662,-0.89,0.17,0.49,34.91
1750568908722,-0.88,0.16,0.5,34.92
1750568908782,-0.88,0.16,0.49,34.91
1750568908842,-0.88,0.16,0.48,34.91
1750568908902,-0.9,0.18,0.48,34.89
1750568908962,-0.88,0.17,0.49,34.92
1750568909022,-0.88,0.16,0.5,34.92
1750568909162,-0.87,0.18,0.48,34.94
1750568909222,-0.89,0.17,0.5,34.89
1750568909282,-0.87,0.17,0.5,34.92
1750568909342,-0.88,0.18,0.48,34.92
1750568909402,-0.88,0.16,0.49,34.92
1750568909462,-0.89,0.18,0.49,34.95
1750568909522,-0.88,0.17,0.49,34.91
1750568909582,-0.87,0.17,0.5,34.91
1750568909642,-0.88,0.16,0.51,34.92
1750568909702,-0.88,0.16,0.51,34.91
1750568909762,-0.89,0.16,0.51,34.94
1750568909822,-0.88,0.17,0.5,34.91
1750568909882,-0.89,0.17,0.5,34.92
1750568910012,-0.88,0.16,0.49,34.94
1750568910072,-0.88,0.16,0.49,34.94
1750568910132,-0.9,0.16,0.51,34.94
1750568910192,-0.91,0.16,0.49,34.92
1750568910252,-0.89,0.16,0.5,34.94
1750568910312,-0.89,0.17,0.49,34.92
1750568910372,-0.89,0.18,0.48,34.92
1750568910432,-0.88,0.17,0.49,34.92
1750568910492,-0.88,0.17,0.49,34.92
1750568910552,-0.89,0.17,0.49,34.91
1750568910613,-0.89,0.17,0.5,34.95
1750568910672,-0.88,0.18,0.49,34.94
1750568910732,-0.88,0.17,0.49,34.92
1750568910872,-0.89,0.16,0.47,34.91
1750568910932,-0.88,0.18,0.49,34.91
1750568910992,-0.89,0.16,0.5,34.94
1750568911052,-0.88,0.17,0.49,34.92
1750568911112,-0.88,0.16,0.5,34.92
1750568911172,-0.88,0.17,0.5,34.92
1750568911232,-0.88,0.17,0.5,34.91
1750568911292,-0.9,0.17,0.49,34.92
1750568911352,-0.89,0.17,0.5,34.89
1750568911412,-0.88,0.16,0.5,34.94
1750568911472,-0.89,0.17,0.49,34.92
1750568911532,-0.89,0.17,0.5,34.92
1750568911592,-0.88,0.17,0.49,34.94
1750568911722,-0.88,0.17,0.5,34.91
1750568911782,-0.88,0.18,0.5,34.94
1750568911842,-0.89,0.16,0.49,34.91
1750568911902,-0.89,0.17,0.48,34.92
1750568911962,-0.89,0.16,0.51,34.95
1750568912022,-0.89,0.16,0.5,34.94
1750568912082,-0.88,0.18,0.5,34.92
1750568912142,-0.9,0.17,0.49,34.94
1750568912202,-0.88,0.16,0.51,34.92
1750568912262,-0.89,0.18,0.48,34.92
1750568912322,-0.89,0.15,0.49,34.92
1750568912382,-0.89,0.18,0.5,34.94
1750568912442,-0.88,0.16,0.49,34.91
1750568912572,-0.9,0.17,0.5,34.91
1750568912632,-0.88,0.16,0.5,34.91
1750568912692,-0.88,0.18,0.49,34.92
1750568912752,-0.88,0.17,0.48,34.92
1750568912812,-0.89,0.18,0.5,34.92
1750568912872,-0.89,0.17,0.49,34.92
1750568912932,-0.89,0.18,0.5,34.92
1750568912992,-0.89,0.16,0.5,34.91
1750568913052,-0.89,0.16,0.49,34.91
1750568913112,-0.89,0.17,0.49,34.94
1750568913173,-0.88,0.16,0.5,34.91
1750568913232,-0.88,0.16,0.5,34.91
